"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 24 13:29:22 CST 2023","Fri Feb 24 13:29:22 CST 2023","95","testcases","test_buy_now","TestBuyNow","","","num为0","BuyNowApi子类从BaseBuyerApi父类构造方法中间接继承了实例属性uid  super().__init__()"
"passed","Fri Feb 24 13:29:23 CST 2023","Fri Feb 24 13:29:23 CST 2023","0","testcases","test_buy_now","TestBuyNow","","","test_demo1",""
"passed","Fri Feb 24 13:29:23 CST 2023","Fri Feb 24 13:29:23 CST 2023","0","testcases","test_buy_now","TestBuyNow","","","test_demo3",""
"passed","Fri Feb 24 13:29:22 CST 2023","Fri Feb 24 13:29:22 CST 2023","211","testcases","test_audit_goods","TestAuditGoods","","","商品审核","
        提取token统一放在fixture

        业务分析：商品审核需要商品id --> 商品的id通过卖家的发布商品接口获取

        "
"passed","Fri Feb 24 13:29:22 CST 2023","Fri Feb 24 13:29:23 CST 2023","99","testcases","test_buy_now","TestBuyNow","","","正常购买","BuyNowApi子类从BaseBuyerApi父类构造方法中间接继承了实例属性uid  super().__init__()"
"passed","Fri Feb 24 13:29:21 CST 2023","Fri Feb 24 13:29:22 CST 2023","369","testcases","test_add_goods","TestAddGoods","","","正常添加商品",""
"passed","Fri Feb 24 13:29:22 CST 2023","Fri Feb 24 13:29:22 CST 2023","88","testcases","test_buy_now","TestBuyNow","","","num为负数","BuyNowApi子类从BaseBuyerApi父类构造方法中间接继承了实例属性uid  super().__init__()"
"passed","Fri Feb 24 13:29:22 CST 2023","Fri Feb 24 13:29:22 CST 2023","72","testcases","test_buy_now","TestBuyNow","","","产品id不存在","BuyNowApi子类从BaseBuyerApi父类构造方法中间接继承了实例属性uid  super().__init__()"
"passed","Fri Feb 24 13:29:23 CST 2023","Fri Feb 24 13:29:24 CST 2023","610","testcases","test_order_process","TestOrderProcess","","","卖家发货",""
"passed","Fri Feb 24 13:29:23 CST 2023","Fri Feb 24 13:29:23 CST 2023","0","testcases","test_buy_now","TestBuyNow","","","test_demo5",""
"passed","Fri Feb 24 13:29:24 CST 2023","Fri Feb 24 13:29:25 CST 2023","679","testcases","test_order_process","TestOrderProcess","","","买家确认收货",""
"passed","Fri Feb 24 13:29:23 CST 2023","Fri Feb 24 13:29:23 CST 2023","0","testcases","test_buy_now","TestBuyNow","","","test_demo4",""
"passed","Fri Feb 24 13:29:23 CST 2023","Fri Feb 24 13:29:23 CST 2023","0","testcases","test_buy_now","TestBuyNow","","","test_demo2",""
"passed","Fri Feb 24 13:29:23 CST 2023","Fri Feb 24 13:29:23 CST 2023","108","testcases","test_order_process","TestOrderProcess","","","创建交易",""
"passed","Fri Feb 24 13:29:23 CST 2023","Fri Feb 24 13:29:23 CST 2023","68","testcases","test_order_process","TestOrderProcess","","","立即购买",""
"passed","Fri Feb 24 13:29:23 CST 2023","Fri Feb 24 13:29:23 CST 2023","0","testcases","test_buy_now","TestBuyNow","","","test_demo",""
"passed","Fri Feb 24 13:29:23 CST 2023","Fri Feb 24 13:29:23 CST 2023","213","testcases","test_buy_now","TestBuyNow","","","正常购买","BuyNowApi子类从BaseBuyerApi父类构造方法中间接继承了实例属性uid  super().__init__()"
"passed","Fri Feb 24 13:29:22 CST 2023","Fri Feb 24 13:29:22 CST 2023","87","testcases","test_buy_now","TestBuyNow","","","num超过库存","BuyNowApi子类从BaseBuyerApi父类构造方法中间接继承了实例属性uid  super().__init__()"
"passed","Fri Feb 24 13:29:25 CST 2023","Fri Feb 24 13:29:25 CST 2023","721","testcases","test_order_process","TestOrderProcess","","","卖家确认收款",""
